key,en
LOGOUT,Log out
SELECT_LANGUAGE,Language
MENU_ITEM_HOME,Home
MENU_ITEM_CREATE,Create
MENU_ITEM_EXECUTE,Execute
MENU_SUBITEM_CREATE_METADATA,Create/Edit metadata
MENU_SUBITEM_CREATE_WORKFLOW,Create/Edit configuration
MENU_SUBITEM_EXECUTE_WORKFLOW,Execute workflow
HOME_TITLE,Run interactive workflows with
HOME_WORKFLOWS,Workflows
EXEC_TITLE,<h2>List of <b>geoflow</b> configurations <small>Access and execute a Workflows</small></h2><hr>
EXEC_CONSOLE,Console
EXEC_WORKFLOW,Workflow
EXEC_WORKFLOWS,Workflows
EXEC_WORKFLOW_INITIALIZATION,Workflow initialization
EXEC_WORKFLOW_EXECUTION,Workflow execution
EXEC_SESSION_INFO,Session info
EXEC_BUTTON_EDIT,Edit
EXEC_BUTTON_EXECUTE,Execute
EXEC_BUTTON_JOB_ARCHIVE,Download job archive
EXEC_JOB_NOJOBSTARTED,No geoflow job started!
EXEC_JOB_STARTING,Starting geoflow job...
EXEC_JOB_INITIALIZATION,Initializing workflow ... 0%
EXEC_JOB_STATUS_STARTED,Started
EXEC_JOB_STATUS_INPROGRESS,In progress
EXEC_JOB_STATUS_SUCCESS,Success
EXEC_JOB_STATUS_ERROR,Error
EXEC_JOB_ERROR_MESSAGE,Workflow '%s' has thrown an error!
EXEC_ACTION_DETAIL_EXEC,Executing action: '%s' - entity '%s' ... %s %%
TABLE_LANGUAGE,//cdn.datatables.net/plug-ins/1.10.11/i18n/English.json
TABLE_NAME,Name
TABLE_LASTMODIFIED,Last modification
TABLE_ACTIONS,Actions
MD_EDITOR_HEADER,<h2>Create/Edit metadata</h2>
MD_EDITOR_KEY,Key
MD_EDITOR_TITLE,Title
MD_EDITOR_NAME,Name
MD_EDITOR_DESCRIPTION,Description
MD_EDITOR_VALUE,Value
MD_EDITOR_URI,Link
MD_EDITOR_ACTIONS,Actions
MD_EDITOR_TABLE_CREATE,Create table
MD_EDITOR_TABLE_LOAD,Load table
MD_EDITOR_C,Contacts
MD_EDITOR_C_SUBTITLE,Create contacts to attach to datasets
MD_EDITOR_C_CREATE,Create contact
MD_EDITOR_C_IDENTIFIERS,Identifier(s)
MD_EDITOR_C_IDENTIFIER,Identifier
MD_EDITOR_C_IDENTIFIER_ADD,Add identifier
MD_EDITOR_C_DETAILS,Details
MD_EDITOR_C_ORGNAME,Organization name
MD_EDITOR_C_LASTNAME,Last name
MD_EDITOR_C_FIRSTNAME,First name
MD_EDITOR_C_POSITIONNAME,Position name
MD_EDITOR_C_POSTALADDRESS,Postal address
MD_EDITOR_C_POSTALCODE,Postal code
MD_EDITOR_C_CITY,City
MD_EDITOR_C_COUNTRY,Country
MD_EDITOR_C_INFO,Information
MD_EDITOR_C_EMAIL,Email
MD_EDITOR_C_PHONENUMBER,Phone number
MD_EDITOR_C_FACSIMILE,Fac simile
MD_EDITOR_C_WEBSITE_URL,Website URL
MD_EDITOR_C_WEBSITE_NAME,Website name
MD_EDITOR_E,Entities,
MD_EDITOR_E_SUBTITLE,Create entities to describe datasets
MD_EDITOR_E_CREATE,Create entity
MD_EDITOR_E_IDENTIFIERS,Identifier(s)
MD_EDITOR_E_IDENTIFIER,Identifier
MD_EDITOR_E_IDENTIFIER_ADD,Add identifier
MD_EDITOR_E_TITLE,Title
MD_EDITOR_E_TITLE_ADD,Add title
MD_EDITOR_E_DESCRIPTION,Description
MD_EDITOR_E_DESCRIPTION_ADD,Add description
MD_EDITOR_E_SUBJECTS,Subject(s)
MD_EDITOR_E_SUBJECT,Subject
MD_EDITOR_E_SUBJECT_ADD,Add subject
MD_EDITOR_E_VOCABULARY,Vocabulary
MD_EDITOR_E_VOCABULARY_CUSTOM,Custom
MD_EDITOR_E_CONTACTS,Contact(s)
MD_EDITOR_E_CONTACTS_LOAD,Load contacts
MD_EDITOR_E_CONTACT,Contact
MD_EDITOR_E_CONTACT_ADD,Add contact
MD_EDITOR_E_DATES,Date(s)
MD_EDITOR_E_DATE,Date
MD_EDITOR_E_DATETYPE,Date type
MD_EDITOR_E_DATE_ADD,Add date
MD_EDITOR_E_TYPE,Type
MD_EDITOR_E_TYPE_ADD,Add type
MD_EDITOR_E_LANGUAGE,Language
MD_EDITOR_E_SPATIALCOVERAGE,Spatial coverage
MD_EDITOR_E_TEMPORALCOVERAGE,Temporal coverage
MD_EDITOR_E_RELATIONS,Relation(s)
MD_EDITOR_E_RELATION,Relation
MD_EDITOR_E_RELATION_ADD,Add relation
MD_EDITOR_E_RIGHTS,Rights
MD_EDITOR_E_RIGHT,Right
MD_EDITOR_E_RIGHT_ADD,Add right
MD_EDITOR_E_RIGHTTYPE,Right type
MD_EDITOR_E_RIGHT_LICENSE,License
MD_EDITOR_E_RIGHT_USECONSTRAINT,Use constraint
MD_EDITOR_E_RIGHT_ACCESSCONSTRAINT,Access constraint
MD_EDITOR_E_RIGHT_OTHERCONSTRAINT,Other constraint
MD_EDITOR_E_RIGHT_USELIMITATION,Use limitation
MD_EDITOR_E_RIGHT_ACCESSRIGHTS,Access rights
MD_EDITOR_E_RIGHT_ACCESSCONDITIONS,Access conditions
MD_EDITOR_E_RIGHT_TERMSOFUSE,Terms of use
MD_EDITOR_E_RIGHT_DISCLAIMER,Disclaimer
MD_EDITOR_E_RIGHT_CITATION,Citation
MD_EDITOR_E_FORMATS,Formats
MD_EDITOR_E_FORMAT,Format
MD_EDITOR_E_FORMAT_ADD,Add format
MD_EDITOR_E_FORMATTYPE,Format type
MD_EDITOR_E_PROV,Provenance
MD_EDITOR_E_PROV_STATEMENT,Statement
MD_EDITOR_E_PROV_PROCESS_RATIONALE,Process rationale
MD_EDITOR_E_PROV_PROCESS_DESCRIPTION,Process description
MD_EDITOR_E_PROV_PROCESS_ADD,Add process
MD_EDITOR_E_DATA,Data
MD_EDITOR_E_DATA_ACCESS,Data access
MD_EDITOR_E_DATA_ACCESS_MODE,Mode
MD_EDITOR_E_DATA_ACCESS_MODE_FILE,File(s)
MD_EDITOR_E_DATA_ACCESS_MODE_DIR,Directory
MD_EDITOR_E_DATA_CHARACTERISTICS,Data characteristics
MD_EDITOR_E_DATA_SOURCETYPE,Source type
MD_EDITOR_E_DATA_SOURCESQL,Source SQL
MD_EDITOR_E_DATA_SRT,Spatial representation type
MD_EDITOR_D,Dictionary
MD_EDITOR_D_SUBTITLE,Create a data dictionary
MD_EDITOR_D_CREATE,Create dictionary
